APK,WID,Widget,Layout,Parent,Method,Permission
biz.nlnrnqn.noknlnkno.apk,0x7f090001,img_splash,splash.xml,"<biz.nlnrnqn.noknlnkno.c: void onClick(android.view.View)>","<android.app.ActivityManager: java.util.List getRunningTasks(int)>","<android.permission.GET_TASKS>"
biz.nlnrnqn.noknlnkno.apk,0x7f090001,img_splash,splash.xml,"<biz.nlnrnqn.noknlnkno.c: void onClick(android.view.View)>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,0x7f090001,img_splash,splash.xml,"<biz.nlnrnqn.noknlnkno.c: void onClick(android.view.View)>","<android.telephony.TelephonyManager: int getSimState()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,0x7f090001,img_splash,splash.xml,"<biz.nlnrnqn.noknlnkno.c: void onClick(android.view.View)>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,0x7f090001,img_splash,splash.xml,"<biz.nlnrnqn.noknlnkno.c: void onClick(android.view.View)>","<android.telephony.TelephonyManager: java.lang.String getLine1Number()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,0x7f090001,img_splash,splash.xml,"<biz.nlnrnqn.noknlnkno.c: void onClick(android.view.View)>","<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,0x7f090001,img_splash,splash.xml,"<biz.nlnrnqn.noknlnkno.c: void onClick(android.view.View)>","<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: boolean y()>","<android.app.ActivityManager: java.util.List getRunningTasks(int)>","<android.permission.GET_TASKS>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: boolean y()>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: boolean y()>","<android.telephony.TelephonyManager: int getSimState()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: boolean y()>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
